Command,Explanation,Doc_Path,Html_Path
reboot,Reboot the system,docs/txt/reboot.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\reboot.html
rename,Rename files,docs/txt/rename.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\rename.html
renice,Alter priority of running processes,docs/txt/renice.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\renice.html
remsync,Synchronize remote files via email,docs/txt/remsync.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\remsync.html
return,Exit a shell function,docs/txt/return.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\return.html
rev,Reverse lines of a file,docs/txt/rev.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\rev.html
rm,Remove files,docs/txt/rm.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\rm.html
rmdir,Remove folder(s),docs/txt/rmdir.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\rmdir.html
rsync,Remote file copy (Synchronize file trees),docs/txt/rsync.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\rsync.html
screen,"Multiplex terminal, run remote shells via ssh",docs/txt/screen.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\screen.html
scp,Secure copy (remote file copy),docs/txt/scp.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\scp.html
sdiff,Merge two files interactively,docs/txt/sdiff.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sdiff.html
sed,Stream Editor,docs/txt/sed.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sed.html
select,Accept user choices via keyboard input,docs/txt/select.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\select.html
seq,Print numeric sequences,docs/txt/seq.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\seq.html
set,Manipulate shell variables and functions,docs/txt/set.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\set.html
setfacl,Set file access control lists.,docs/txt/setfacl.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\setfacl.html
sftp,Secure File Transfer Program,docs/txt/sftp.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sftp.html
sha256sum,Compute and check SHA256 (256-bit) checksums,docs/txt/sha256sum.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sha256sum.html
shift,Shift positional parameters,docs/txt/shift.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\shift.html
